N,lnPi(N)
0,-1040.5083870462206
1,-1036.5556020960253
2,-1033.2990034943189
3,-1030.4511699939792
4,-1027.8538357531957
5,-1025.4329892981546
6,-1023.1112797857284
7,-1020.8423690506777
8,-1018.5770640713289
9,-1016.3054845726949
10,-1014.0184522026992
11,-1011.7026423522769
12,-1009.3585865090224
13,-1006.9913771477013
14,-1004.6089419956712
15,-1002.2082190408438
16,-999.7903180656899
17,-997.3589903514863
18,-994.930260211638
19,-992.4778391804643
20,-990.0012339536888
21,-987.5065996653908
22,-984.9921333457315
23,-982.4573568530265
24,-979.8888768467409
25,-977.2895966119382
26,-974.6500872796174
27,-971.9766952936941
28,-969.2577725351687
29,-966.4968459671228
30,-963.6846417973027
31,-960.8076494336344
32,-957.8674826174199
33,-954.88227462546
34,-951.842876599806
35,-948.7754735877827
36,-945.6981976362069
37,-942.6358085132299
38,-939.5925600373254
39,-936.5790866130952
40,-933.6026578577905
41,-930.6613185746954
42,-927.7586308997337
43,-924.9047980026686
44,-922.0868787927287
45,-919.3206734176493
46,-916.5922265932886
47,-913.9026366617146
48,-911.2534314476
49,-908.6524846896714
50,-906.0903351103577
51,-903.5707943322772
52,-901.091857782631
53,-898.6387443906025
54,-896.2152805420212
55,-893.8211182995241
56,-891.4391016077155
57,-889.0794994908626
58,-886.7313421567708
59,-884.3787831442853
60,-882.0196005718909
61,-879.6589027250035
62,-877.2752619665425
63,-874.8714447085516
64,-872.4217748429647
65,-869.942767491926
66,-867.4275576354415
67,-864.8643326210548
68,-862.2491917584832
69,-859.5807783124571
70,-856.8608348606639
71,-854.0728971346085
72,-851.2335705112238
73,-848.3503045545962
74,-845.4380725475596
75,-842.5113737613212
76,-839.5705968901083
77,-836.6283947921381
78,-833.6978686012297
79,-830.7792155273277
80,-827.8803799803939
81,-824.9964389731527
82,-822.1156714767595
83,-819.2694494891857
84,-816.4381682355992
85,-813.629329739991
86,-810.8457723444716
87,-808.0874068647335
88,-805.3617490608422
89,-802.6580595935638
90,-799.9764650039316
91,-797.3133053125146
92,-794.6807406962115
93,-792.0734377147904
94,-789.4834725996844
95,-786.9195986065473
96,-784.3766722475864
97,-781.8449393336638
98,-779.3370528507329
99,-776.8488046310066
100,-774.3779895084303
101,-771.9125528117036
102,-769.4696732419325
103,-767.043002880551
104,-764.6368557869226
105,-762.2325238087919
106,-759.8274995257754
107,-757.4279296574797
108,-755.0202947247191
109,-752.5999274601124
110,-750.1599607506688
111,-747.6807508409798
112,-745.1463773410748
113,-742.5438050893739
114,-739.8834031453904
115,-737.170174577789
116,-734.3992459149653
117,-731.5983037197078
118,-728.7380971207824
119,-725.881741146516
120,-723.031529865755
121,-720.1839168629605
122,-717.3466775712678
123,-714.506631086881
124,-711.6647842443957
125,-708.8363152779816
126,-706.0303159796396
127,-703.2460571995309
128,-700.4759887750484
129,-697.7019794911852
130,-694.9497690140428
131,-692.2119119161292
132,-689.4754677255556
133,-686.7551542785744
134,-684.0654091979408
135,-681.3867800966897
136,-678.7201755450473
137,-676.0655112092326
138,-673.4118839913441
139,-670.7604904968329
140,-668.0989569821398
141,-665.4326404821917
142,-662.5465360044578
143,-659.6309642274074
144,-656.6706517888077
145,-653.6891566675531
146,-650.7188401431242
147,-647.7483157694348
148,-644.7753838141603
149,-641.804192072621
150,-638.8428134765621
151,-635.9012193128666
152,-632.9770429752531
153,-630.0595567306401
154,-627.1548287150982
155,-624.2720478799087
156,-621.3981263147167
157,-618.5505606687972
158,-615.7228610102773
159,-612.9211481732572
160,-610.1416205674112
161,-607.3718834119949
162,-604.6138494218159
163,-601.8886669189131
164,-599.1821153233218
165,-596.4757063762939
166,-593.791220858688
167,-591.1187061578272
168,-588.4599003042155
169,-585.8109740182159
170,-583.1815229034435
171,-580.5780047898463
172,-577.997847045341
173,-575.4313081370931
174,-572.8802451643054
175,-570.3516473231265
176,-567.8420321992894
177,-565.3345687329892
178,-562.8444054501659
179,-560.3696942812842
180,-557.9021311096266
181,-555.4392241433983
182,-552.9824539007037
183,-550.5206968521976
184,-548.0508434412909
185,-545.5801990372605
186,-543.0676534137989
187,-540.5315305358107
188,-537.9562649333208
189,-535.3070317899602
190,-532.5956152022428
191,-529.8434004364243
192,-527.0651395379349
193,-524.2601406888722
194,-521.4367728352739
195,-518.585561480215
196,-515.7217230918934
197,-512.8694748653935
198,-510.0217205087834
199,-507.1795146385669
200,-504.35602275772254
201,-501.54573805014553
202,-498.7428558643423
203,-495.94797284509394
204,-493.1498848104032
205,-490.3657716192841
206,-487.5833327059177
207,-484.81029714704704
208,-482.0414877343282
209,-479.28234728804404
210,-476.52853333202717
211,-473.7735973872844
212,-470.9973762655388
213,-468.2080964110631
214,-465.39469844463787
215,-462.5654841800293
216,-459.7231060602838
217,-456.8550418553786
218,-453.97107486742726
219,-451.07330226539267
220,-448.1903311771694
221,-445.2993078245392
222,-442.38545785700813
223,-439.4655409530639
224,-436.54769030456015
225,-433.6355160613704
226,-430.7282781476526
227,-427.84113504924886
228,-424.95071384820193
229,-422.06435652594126
230,-419.1987550277625
231,-416.3416588175333
232,-413.5028721353381
233,-410.6701793204673
234,-407.85976993332844
235,-405.0500264089017
236,-402.26355495251033
237,-399.47488540849344
238,-396.7085541936039
239,-393.9484665519747
240,-391.1967647376063
241,-388.4523495336977
242,-385.7038638229057
243,-382.985074116356
244,-380.2716825955901
245,-377.5485832286577
246,-374.8174376321935
247,-372.0829148326375
248,-369.34535832989917
249,-366.59822502640435
250,-363.8369749313205
251,-361.01077246704773
252,-358.15644393446115
253,-355.2736913167966
254,-352.36556129198135
255,-349.43867612991556
256,-346.50056402870035
257,-343.55967060221263
258,-340.6227771075999
259,-337.71237632334265
260,-334.80240047613637
261,-331.89677833362197
262,-328.99162742961033
263,-326.1055689609282
264,-323.2382006290847
265,-320.38183119126364
266,-317.54425042519523
267,-314.71453203288405
268,-311.89857817703813
269,-309.09287484267617
270,-306.307159936074
271,-303.53227352057905
272,-300.7825194450574
273,-298.057794687721
274,-295.34480208711494
275,-292.6461994541689
276,-289.95266843595965
277,-287.273723794875
278,-284.59792661513217
279,-281.9287120415942
280,-279.2642195512071
281,-276.59494328003456
282,-273.95982962160855
283,-271.3266584487089
284,-268.674582232541
285,-266.01494092322906
286,-263.3496511759585
287,-260.6448593898469
288,-257.8982194712002
289,-255.11171284197397
290,-252.22555705340383
291,-249.32650565287045
292,-246.41341787068225
293,-243.504356819523
294,-240.60497253130748
295,-237.71677884257954
296,-234.8313185684198
297,-231.96080313792734
298,-229.109884906212
299,-226.26998098452864
300,-223.4461208572724
301,-220.6404252246895
302,-217.85841949320493
303,-215.099716786105
304,-212.35387043857273
305,-209.63039603972575
306,-206.93023108816683
307,-204.2505802236889
308,-201.58184227071652
309,-198.9384570920379
310,-196.30514566918467
311,-193.69743486924077
312,-191.09417366520077
313,-188.51932515459
314,-185.93228497642522
315,-183.35787804490022
316,-180.7971358173643
317,-178.25832917039568
318,-175.738166734394
319,-173.22767650452707
320,-170.72354564909088
321,-168.2378608629829
322,-165.75820622497875
323,-163.29362353597472
324,-160.83623516394417
325,-158.38319686347054
326,-155.94131204173644
327,-153.5114561647379
328,-151.09163828810645
329,-148.68226493036858
330,-146.27175968202383
331,-143.88103609647274
332,-141.50438656391592
333,-139.1394871973827
334,-136.78033427828998
335,-134.42591158414533
336,-132.08259526975704
337,-129.7454843264418
338,-127.41458528986747
339,-125.08535828847168
340,-122.7723799560196
341,-120.46459357433768
342,-118.16060321793081
343,-115.85585056569441
344,-113.57852500734514
345,-111.32195289938686
346,-109.06413813736769
347,-106.81473866559797
348,-104.56586436715627
349,-102.33142818903688
350,-100.10295537969402
351,-97.88007861436351
352,-95.66492601466909
353,-93.48002389948651
354,-91.30535513050226
355,-89.12599811213231
356,-86.96750927434111
357,-84.81738696514758
358,-82.6784612214107
359,-80.54163237315531
360,-78.40664949277406
361,-76.27478477625884
362,-74.16221857923146
363,-72.08083995579845
364,-70.01481525384183
365,-67.95578842851562
366,-65.90379785741861
367,-63.87347510828947
368,-61.849790213360436
369,-59.83758495158661
370,-57.84964631190853
371,-55.85510825034844
372,-53.895831201715666
373,-51.94215686858256
374,-50.01407280056803
375,-48.092777763658816
376,-46.217737702244605
377,-44.35133260933178
378,-42.52970339025778
379,-40.71845692981496
380,-38.923223007725866
381,-37.15152942294894
382,-35.4281845317834
383,-33.73208868882118
384,-32.0381879546665
385,-30.38283612207674
386,-28.76139289751181
387,-27.161204968079502
388,-25.62221298104798
389,-24.119710034277702
390,-22.655655147054446
391,-21.25500630026515
392,-19.894978567538757
393,-18.559300732810968
394,-17.268551210468146
395,-16.045300875994073
396,-14.881824283805981
397,-13.764610692179458
398,-12.699164409113946
399,-11.639931814853908
400,-10.630839245895158
401,-9.710117596109894
402,-8.80788926565121
403,-7.995552513421826
404,-7.193715458250081
405,-6.428225111012734
406,-5.755182506389401
407,-5.0926319351964775
408,-4.487123351888085
409,-4.003467158396843
410,-3.5614797850643485
411,-3.170600436741252
412,-2.8800462002972567
413,-2.6265866153318442
414,-2.4568135053247446
415,-2.324984580542305
416,-2.268752390629898
417,-2.308797701028125
418,-2.3724869702136133
419,-2.539543094933761
420,-2.7467634094515874
421,-3.033741756706077
422,-3.3284479254809143
423,-3.7545410803194685
424,-4.315543286366774
425,-4.863507707342633
426,-5.4642080123500545
427,-6.104141411986047
428,-6.813378293202659
429,-7.6722519227620705
430,-8.623927161632691
431,-9.542050035943175
432,-10.523417628772377
433,-11.609813957807019
434,-12.886452618497215
435,-14.14450038497277
436,-15.449751698281188
437,-16.830996460296817
438,-18.339531799254516
439,-19.841749325300995
